media_id,comment_count,predicted_gender,follows,followed_by,python_faces,like_count
1007128632822705469_482890362,0,female,2744.0,1047.0,0,82
1021994046609064326_718373231,0,male,674.0,774.0,0,21
1023085859093980555_297430360,0,male,209.0,227.0,0,25
1034075185657221171_290177371,1,male,304.0,196.0,0,11
1040420323821923564_207135042,1,male,249.0,1682.0,1,18
1045690859144624041_478723084,0,,202.0,155.0,0,15
1046777570897126724_184312776,0,male,633.0,327.0,1,12
1047168308413247154_1268980298,0,,199.0,448.0,1,3
1052084065769663389_282005809,0,,226.0,201.0,2,10
1056393311753344045_185832564,12,,606.0,55751.0,2,817
1059103726247365354_393174369,5,,573.0,491.0,2,24
1070582253325476381_1653744951,0,,355.0,924.0,0,6
1074240665714285710_1476327934,0,female,649.0,352.0,0,19
1081090269316378927_1139453835,6,,1440.0,1730.0,6,33
1082398762795266584_1139453835,3,,1440.0,1730.0,4,35
1098783068162420061_186680570,0,,649.0,278.0,0,11
1099046425486203344_213759389,0,female,472.0,374.0,0,5
1111859712418117709_41699093,1,female,274.0,374.0,5,10
1119810676185593856_1973808805,1,,154.0,456.0,0,42
1127842681977101203_25359405,0,,1017.0,976.0,1,46
1130739897002807883_472908507,4,,137.0,280.0,0,7
1135533786297791362_1139453835,5,,1440.0,1730.0,2,81
1141973729375348794_1696719025,12,,245.0,280.0,,84
1146917642666175173_1696719025,25,,245.0,280.0,0,80
1158008626967475001_1139453835,7,,1440.0,1730.0,7,37
1158286383131396860_2469118585,0,male,303.0,162.0,2,9
1160103132954976935_630771623,7,,102.0,61841.0,0,873
1165475729208268039_1403714884,1,female,503.0,597.0,0,41
1172376056620115781_433260248,0,,138.0,1871.0,1,26
1185935278158121587_2469118585,0,male,303.0,162.0,0,6
1189184449724281280_1139453835,3,,1440.0,1730.0,2,59
1200962978395530109_1576507631,0,,530.0,807.0,6,44
1219181904582933062_41699093,0,female,274.0,374.0,6,12
1219977305464201583_321028799,0,,147.0,469.0,0,37
1220942529076415472_393174369,5,,573.0,491.0,0,33
1224906938943717507_287357479,0,female,441.0,808.0,0,18
1233465328814520883_41699093,0,female,274.0,374.0,0,9
1234847623958552213_228199662,2,male,401.0,616.0,0,20
1238176064321374610_393174369,3,,573.0,491.0,2,13
1240417927677889021_393174369,6,,573.0,491.0,0,46
1244445929963225120_20152271,1,female,224.0,280.0,0,25
1244898881385265211_41699093,1,female,274.0,374.0,0,30
1247865992338809237_332782375,0,female,559.0,589.0,1,42
1253721591129894179_186680570,0,,649.0,278.0,0,31
1255223515862797080_2469118585,0,male,303.0,162.0,2,7
1256770448419609420_1616834245,0,female,603.0,464.0,,54
